word,weight
তুরস্কে,0.0018385763799340332
সংগঠনগুলোকে,0.0018385763799340332
জবির,0.0018361762603472814
গ্রেফতার,0.001836176260347281
৪৮,0.0018338108352053877
ডিএনসিসি,0.0018338108352053874
দক্ষিণ,0.0018314793439230415
পাঠাবে,0.0018314793439230415
লুটপাট,0.001829433869279089
সাংস্কৃতিক,0.0018294338692790887
ওষুধ,0.0018291810526327406
আফ্রিকায়,0.0018291810526327404
র‌্যাপ,0.001826915252945933
খাদ্য,0.001826915252945933
কাপড়,0.0018246812607854213
সংগীতশিল্পীকে,0.0018246812607854211
হত্যা,0.001822478415284156
শীতের,0.001822478415284156
ছাত্রলীগের,0.0018203060777459245
তুরস্কে,0.0018203060777459243
থেমে,0.0018202864519780847
চর্চা,0.0018202864519780845
২১,0.001818163630663789
বিপর্যস্ত,0.0018181636306637888
নেতাকর্মী,0.0018160504767924656
ভূমিকম্পে,0.0018160504767924651
বহিষ্কার,0.0018139660382711007
ছেলে,0.0018139660382711005
ভারতীয়,0.001811909755793198
হত্যা,0.0018119097557931971
ভূমিকম্পেও,0.0018111340666751787
বাড়াতে,0.0018111340666751782
দলে,0.0018098810878206654
বাবাকে,0.0018098810878206645
পক্ষপাতিত্বের,0.0018078795098392018
মুক্তিযোদ্ধা,0.001807879509839201
অভিযোগ,0.0018059045136524226
লোভে,0.0018059045136524221
ছোট,0.00180395560671233
সম্পত্তির,0.0018039556067123293
পর্দায়,0.0018020323114838958
কাদের,0.0018020323114838952
সম্মেলন,0.0018019766514031838
উপাচার্য,0.0018019766514031836
আজকের,0.0018001341648416882
এম,0.0018001341648416877
খেলা,0.0017982607174966147
জি,0.001798260717496614
হোটেল,0.0017964115334509914
জানালেন,0.001796411533450991
রিল্যাক্সে,0.0017945861894802715
অভিনন্দন,0.0017945861894802712
ব্যবস্থাপক,0.0017928141435710398
৫০,0.0017928141435710398
পূর্ণিমা,0.0017927842746398757
মন,0.0017927842746398753
আসিয়ান,0.0017910053897956795
