title,category1,rank,S_scale,S_score
হাতে পেয়েও ৭ কেজি স্বর্ণ হারালেন অপু-মিম!,বিনোদন,8,0.125,2.5
"ভালোবাসা দিবসে গরুকে আলিঙ্গন, যা বলছেন টালিউড তারকারা",বিনোদন,8,0.125,2.5
"মুম্বাইয়ে ফিরলেন সিদ্ধার্থ-কিয়ারা, বিমানবন্দরে নেমেই মিষ্টি বিতরণ",বিনোদন,8,0.125,2.5
যে কারণে জন্মদিনে ট্রলের শিকার মিমি,বিনোদন,8,0.125,2.5
যারা থাকছেন সিদ্ধার্থ-কিয়ারার রিসেপশনে,বিনোদন,8,0.125,2.5
রোজায় যে মহৎ উদ্যোগ গ্রহণের ঘোষণা দিলেন অ্যানি খান,বিনোদন,8,0.125,2.5
এটি আমার জন্য অনেক বড় ট্রমা: প্রভা,বিনোদন,8,0.125,2.5
"ওদের উদ্দেশ্য অসৎ, আমি মানসিকভাবে ভেঙে পড়েছি: প্রভা",বিনোদন,8,0.125,2.5
দক্ষিণ আফ্রিকায় র‌্যাপ সংগীতশিল্পীকে গুলি করে হত্যা,বিনোদন,8,0.125,2.5
দৃষ্টিহীন সেই ছাত্রের সঙ্গে দেখা করে যা বললেন আসিফ,বিনোদন,8,0.125,2.5
এবার রাজনীতিতে শবনম বুবলী!,বিনোদন,8,0.125,2.5
‘ফরজি’ ধামাকা নিয়ে আসছেন শাহিদ কাপুর,বিনোদন,8,0.125,2.5
হোটেল রিল্যাক্সে পূর্ণিমা,বিনোদন,8,0.125,2.5
"বিয়ে হচ্ছে না অঙ্কুশ-ঐন্দ্রিলার, যা বললেন অভিনেতা",বিনোদন,8,0.125,2.5
বিয়ে মানেই ক্যারিয়ার শেষ নয়,বিনোদন,8,0.125,2.5
"কোন অ্যাপার্টমেন্টে সংসার পাতবেন সিদ্ধার্থ-কিয়ারা, দাম কত জানেন?",বিনোদন,8,0.125,2.5
‘তুমি কি আমায় সন্দেহ করছ?’,বিনোদন,8,0.125,2.5
কেন আমির খানকে কটাক্ষ করলেন এই অভিনেত্রী,বিনোদন,8,0.125,2.5
